"OrdIndex"	"Title"	"Description"	"Location"	"Type"	"Salary"	"lon"	"lat"
"1"	1	"Dementia Friendly Communities Officer"	"   Office location: Flexible within Yorkshire and Humber  Alzheimer's Society is the UK's leading dementia charity. We provide information and support, improve care, fund research, and create lasting change for people affected by dementia.  About the role  We are inspiring millions of people to make big and small changes in their communities, with the aim of making the country more dementia-friendly. There are over 100 active Dementia friendly Communities across England, and you can help us grow that number.  About you  Do you have a knack for getting people behind a campaign? Are you an excellent communicator? Do you believe that it is possible to change the world by mobilising communities? So do we!  If you are highly organised, with great interpersonal skills, able to travel across Yorkshire and Humberside, we want you! You will help build Dementia Friendly Communities across Yorkshire and Humberside, mobilising organisations and individuals. You will be committed to putting people affected by dementia at the heart of everything we do, and you will implement creative ways to make sure their views are heard by any community working towards becoming dementia-friendly.  You will be speaking to people at all levels across your area so great influencing skills are essential. You must also have the ability to manage several tasks at once and keep yourself motivated to perform under pressure.  This is a role in which the results of your hard work will be tangible: you will see communities in which people affected by dementia are included without fear or prejudice. There is great work being done already, but you will be the one to ensure everyone in your area has access to the latest tools and resources to make the Yorkshire and Humberside more dementia-friendly.  Our employees work hard every day to make a true difference in people's lives. We are proud to support them with a range of benefits, recognition and many options for working agilely. All contributing to a strong work life balance. We also have various learning programmes to support you in your development and help you grow to realise your potential and shape a career with Alzheimer's Society.   "	"North East"	"Permanent"	"£28,283 a year"	-99.5873816	41.7370229
"2"	2	"Healthcare Assistant"	"Cygnet Health Care was established in 1988. Since then we have developed a wide range of services for individuals with mental health needs and learning disabilities within the UK. We have built a reputation for delivering pioneering services and outstanding outcomes for the people in our care.  Our expert and highly dedicated care team of 8800 employees empower 3000 individuals across 140 services to consistently make a positive difference to their lives, through service-user focused care and rehabilitation.  We maintain a good relationship with our quality regulators and undergo regular inspections, with 85% of our services rated ‘Good’ or ‘Outstanding’. We also operate an internal system of quality care, treatment and positive outcomes.  If you want to make a difference and ensure people can achieve their goals and get the most out of life, then please read on...  In this role your main focus would be to provide safe, sound and supportive care to the people you support. You will have working relationships with the nursing and multi-disciplinary teams, and will play an important role in the lives of the people you support, as well as their families or loved ones. As a key member of the support team, you may be required to contribute to service user multi-disciplinary meetings.  The support and care you provide will be respectful, dignified and caring, following each individual's person-centred care plan to promote choice and independence.  So what qualifications and attributes do you need?  We welcome all applicants that feel they would be able to make a positive difference to people's lives  You would need to be compassionate, understanding and trustworthy  Health and Social Care QCF or SVQ would be beneficial  Previous experience would be beneficial, but not essential  If this sounds like you, we would love to welcome you to the team. Some of the benefits of this role include: 28 days annual leave  Length of service awards  Fully paid comprehensive induction training for all new starters  Paid DBS/PVG  Free parking  Courtesy meals and refreshments whilst on shift  Shopping and entertainment discount scheme (over 800 retailers)  Cycle to Work scheme  Childcare vouchers  Training and development opportunities  If interested in applying, please forward your cv to amywatson@cygnethealth.co.uk  All successful applicants will be required to become a member of the Protecting Vulnerable Groups Scheme (PVG) in respect of regulated work with protected adults and regulated work with children. A PVG certificate contains all unspent and certain spent conviction information. It also contains any other non-conviction information that the police or other  government bodies think is relevant. Disclosure Scotland continually monitor PVG scheme members' records for vetting information including criminal convictions that may affect their suitability to work with vulnerable groups."	"Hexham"	NA	"£8.50 - £8.70 an hour"	-2.1017927	54.971478
"3"	3	"Accounts Assistant"	" Due to business expansion and development a role has become available within our Accounts Department for an Accounts Assistant. Although general accounts experience is required as this is an all round role, this vacancy is focussed heavily on sales ledger and credit control. The role could also include payroll and cashflow responsibilities. Required: Previous experience within an Accounts department Good attention to detail Excellent communication skills and a co-operative approach Confidence dealing with both internal and external customers Able to prioritise own workload SAP experience would be a distinct advantage. If you are interested in this vacancy and would like to be considered, please apply as soon as possible. Candidates with short notice are preferable as we are looking to carry out interviews and recruit within the next few weeks. Job Type: Full-time Salary: £18,000.00 /year Experience: Accounting: 2 years (Preferred)"	"Prudhoe"	NA	"£18,000 a year"	-1.8556112	54.9597895
"4"	4	"Consumer Research Telephone Interviewer"	" Job Description We have PART TIME vacancies (EVENING AND WEEKENDS) available for telephone interviewers based in Heaton, Newcastle. The role involves conducting research interviews via telephone; you will be reading from a script, speaking to members of the public and entering a respondent’s answers onto a computer system. We have part time roles available: Monday to Friday 5.30pm -9pm Saturday and Sunday 10am - 6pm This is a great opportunity for someone who wants the flexibility to pick and choose their own hours per week with good rates of pay that can work around other commitments. Person Specification - Excellent command of the English language both written and verbal - Polite and friendly approach combined with excellent listening skills - Articulate and positive - Confident speaking to the general public - Reliable and flexible 16 – 20 yrs. Basic rate £6.15 + achievable hourly bonus increases hourly rate to £8.62 including holiday pay at 12% 21+ yrs. Basic rate £7.70 + achievable hourly bonus increases hourly rate to £9:41 including holiday pay at 12% 25+ yrs. Basic rate £8.21 + achievable hourly bonus increases hourly rate to £9:41 including holiday pay at 12% There are excellent transport links, as we are based in Heaton, less than 10 minutes from Newcastle City Centre. Job Type: Part-time Flexible Working Options Available: Part-time"	"Newcastle upon Tyne"	"Part-time"	"£9 an hour"	-1.6131572	54.9738474
"5"	5	"Warehouse Operative"	" MGS was established in 1988 and manufactures and supplies specialist quality products for use in a wide range of civil, environmental, and geotechnical engineering applications. The company employs over 70 people and operates across three locations in the UK, one site in Germany, and with its sister company Geosense. We are looking for an enthusiastic, hard-working individual to fill a permanent position in the warehouse department at our Vaston division in Cramlington. Required/Desired skills & qualities:  Previous experience with counter balance forklift truck required Previous experience as warehouse operative required Computer literate and experience with Microsoft Excel & Outlook highly desirable Positive attitude, proactive, and reliable Working in a small team in the Warehouse department to do the following: Job description:  Pick and pack orders according to customer orders Loading and unloading lorries, usually with a counter balance forklift Maintaining the tidiness of stock Ensuring stock levels are accurate in the stock system Communicating with the sales department Hours: Monday to Friday (8:45am – 5:30pm) Company Benefits:  25 days holiday plus bank holidays Company pension Company shutdown between Christmas and New Year Competitive wages Job Types: Full-time, Permanent Experience: Forklift Operating: 2 years (Required) Warehouse Operative (or similar): 2 years (Required) Location: Cramlington, Northumberland (Preferred)"	"Cramlington"	"Permanent"	NA	-1.5932099	55.0902319
"6"	6	"Customer Assistant"	"  Working as a Salesfloor Customer Assistant at M&S  Memorable in-store experiences start with our Customer Assistants. They’re the ones who keep customers happy, shelves stocked, tills manned and displays looking beautiful. Join the team and show us what service with a smile really looks like.  About the Customer Assistant role  We’re known for delighting our customers with brilliant service. As the friendly face of our brand in store, you’ll uphold our reputation by helping each customer find exactly what they came in for – that unmistakable M&S experience as well as the perfect product.  You could find yourself talking food or fashion, lingerie or luggage, shoes, boots or beyond. In some roles, you'll specialise; fine-tuning your knowledge and honing your expertise in a particular area. Over time you will find yourself working across the store experiencing everything M&S has to offer and developing your skills and experience. Wherever you join us, the important thing is helping customers find and fall in love with our products.  You'll also be using your product knowledge to help customers decide what's right for them - something that we'll help you with when you join us, thanks to our PACE plan. You’ll learn about Presentation, Availability, Commerciality and Experience, as well as receive the tools and support you need to make a big success of your role - whether out on the shop floor or connecting with customers on the tills.  You could take them beyond the store too. We've rolled out an inspiring interactive shopping experience across two thirds of our stores now. So guiding our customers through our multi-channel offer will be down to you.  About you  Being a Customer Assistant is about being approachable, knowledgeable and helpful. You’ll need the energy and positive outlook to be at your best while on your feet all day, helping customers get the very most from their M&S experience. You will be flexible, in the work you do and the hours you work, to help give our customers the best experience we can.  Above all though, it’ll be your personal attention that customers will remember when they talk to you – so bring along bagfuls of friendly enthusiasm and you won’t go far wrong.   "	"Cramlington"	"Temporary"	"£8.50 - £10.60 an hour"	-1.5932099	55.0902319
"7"	7	"Hands on History Crew - Events Staff"	"As part of English Heritage`s summer events programme we are looking for positive and enthusiastic people with a `can do` attitude to form our Hands on History Crew. Alongside a passion for engaging people in our heritage, the role will require successful team members to lead a number of themed activities for family visitors to take part in (including Dressing Up, Role Play and Story Telling) throughout the summer holidays. There will be two members of staff on the Hands on History activities each day they are running and activities will run between 11am - 5pm (site open 10am - 6pm). Training and uniform will be provided and other days of work may be offered alongside contracted minimum hours."	"Ponteland"	"Contract"	"£8.21 an hour"	-1.7446032	55.053005
"8"	8	"General Office Administrator"	" Required for a sales and marketing company, based in Ponteland importing full container loads of added value timber products from their own Malaysian Joinery Factory. Customers include the major DIY and builder merchant chains. Computer skills are essential. ECDL or advanced ECDL is required in word, power point, outlook and especially in excel. Duties will include contracts, invoicing, order planning and placement, shipping documents and all other general office administration tasks i.e. filing, copying etc... Must have access to transport due to location, based in Ponteland. Wage is negotiable depending on experience. Hours of work are Monday to Friday 8.45am – 5.30pm (flexible as required) Demonstrate your suitability by emailing your CV and covering letter. Job Type: Full-time Salary: £18,000.00/£20,000.00 /year depending on experience Job Type: Full-time Salary: £18,000.00 to £20,000.00 /year Experience: General Office: 1 year (Preferred)"	"Ponteland"	NA	"£18,000 - £20,000 a year"	-1.7446032	55.053005
"9"	9	"Trainee Child and Adolescent psychotherapist"	"The successful candidate will join a multi-disciplinary tier 3 team providing mental health care to children, young people and their carers across Northumberland.  The trainee will access clinical training from the Northern School of Child and Adolescent Psychotherapy in Leeds and clinical supervision will be provided locally. The trainee will also undertake personal analysis. Applicants must have successfully completed a PgDip/MA in Psychoanalytic Observational Studies, recognised by the Association of Child and Adolescent Psychotherapists and have secured a provisional place on the clinical training programme at the Northern School of Child and Adolescent Psychotherapy Leeds.  This post is open only to people who have already been formally offered a training place by the Northern School of Child and Adolescent Psychotherapy (NSCAP) on the Clinical Training in Child and Adolescent Psychotherapy and Professional Doctorate in Child Psychoanalytic Psychotherapy. The offer of a place on this training is the first ‘Essential Criteria’ on the Person Specification. Applications without this requirement will not be considered."	"Morpeth "	NA	"£30,401 - £37,267 a year"	-1.686301	55.1717715
"10"	10	"Porter / Driver"	"Advert  Porter / Driver – Staff Bank to cover shifts at Hexham General hospital.  We are looking to recruit 3 friendly, flexible and conscientious Bank Porters to work as and when required within our small portering team at Berwick Infirmary. Main duties will include: The conveyance and movement of patients by wheelchair and stretcher. The movement and handling of waste, laundry and medical gas cylinders in adherence with strict health and safety guidelines. The collection and delivery of linen, refuse, clinical waste trolleys, food trolleys, stores, beds, bedding, furniture, equipment and records to designated areas.  Driving, cleaning, refueling and maintaining records of hospital vehicles and delivery of goods and equipment as required.  Candidate must have a C1 on License if you passed your test before 1997 or a B1 if you passed your test after 1997.  Previous similar experience would be beneficial, although is not essential as full training will be given to the successful candidate.  As the Porters role within Hexham General Hospitals also involves driving, a full clean driving licence is essential.  Uniform will be provided. Closing Date: 21st May 2019"	"Hexham "	"Part-time"	"£17,652 - £19,020 a year"	-2.1017927	54.971478
